"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"12","3","1","1","4","5000","4","523","5475","2869","3626","63","3615","11","1694","830","1102","50","2512","2488","1257","1231"
"13","3","1","1","4","5000","4","523","4380","2121","3053","63","3037","16","1421","682","950","38","2527","2473","1253","1220"
"8","3","1","1","4","5000","4","523","4380","2049","3019","63","2993","26","1323","751","945","40","2431","2569","1337","1232"
"10","3","1","1","4","5000","4","523","4745","2414","3355","63","3338","17","1498","802","1055","47","2455","2545","1284","1261"
"6","3","1","1","4","5000","4","523","4745","2505","3362","63","3354","8","1544","764","1054","48","2542","2458","1195","1263"
"11","3","1","1","4","5000","4","523","5475","2739","3517","63","3503","14","1629","831","1057","47","2551","2449","1247","1202"
"14","3","1","1","4","5000","4","523","4745","2299","3207","63","3194","13","1451","766","990","43","2517","2483","1268","1215"
"5","3","1","1","4","5000","4","523","5475","3039","3789","63","3779","10","1752","887","1150","49","2486","2514","1240","1274"
"7","3","1","1","4","5000","4","523","4380","2072","3028","63","3000","28","1389","699","940","37","2511","2489","1292","1197"
"16","3","1","1","4","5000","4","523","4745","2319","3244","63","3224","20","1522","719","1003","45","2518","2482","1254","1228"
"9","3","1","1","4","5000","4","523","4745","2251","3174","63","3157","17","1475","706","993","42","2552","2448","1218","1230"
"2","3","1","1","4","5000","4","523","4745","2366","3216","63","3204","12","1466","766","984","42","2526","2474","1260","1214"
"12","3","1","1","4","5000","4","523","5840","3107","3784","63","3774","10","1771","871","1142","51","2512","2488","1257","1231"
"15","3","1","1","4","5000","4","523","4745","2406","3296","63","3284","12","1520","743","1033","45","2498","2502","1239","1263"
"3","3","1","1","4","5000","4","523","4745","2548","3451","63","3440","11","1587","780","1084","47","2506","2494","1214","1280"
